Date,DayOfWeek,00:00-06:59,07:00-11:59,12:00-16:59,17:00-20:59,21:00-23:59,Total
2021-06-20,Sun,14.24,7.1,10.12,6.71,4.97,43.14
2021-06-21,Mon,8.21,7.55,17.29,8.11,8.88,50.04
2021-06-22,Tue,9.78,9.25,15.72,10.26,8.52,53.53
2021-06-23,Wed,8.42,6.4,7.56,5.28,4.6,32.26
2021-06-24,Thu,9.62,18.28,7.3,6.13,10.86,52.19
2021-06-25,Fri,13.88,15.73,6.98,10.07,5.23,51.89
2021-06-26,Sat,11.39,8.98,11.32,13.41,22.9,68.0
2021-06-27,Sun,9.07,18.94,28.49,29.45,12.41,98.36
2021-06-28,Mon,17.11,19.69,29.8,23.31,9.72,99.63
2021-06-29,Tue,10.38,11.12,7.85,9.45,11.37,50.17
2021-06-30,Wed,17.55,8.95,5.91,4.67,3.52,40.6
2021-07-01,Thu,9.81,8.69,5.9,6.12,8.74,39.26
2021-07-02,Fri,9.34,10.46,8.17,9.91,6.2,44.08
2021-07-03,Sat,10.56,9.38,9.62,6.32,9.45,45.33
2021-07-04,Sun,10.62,7.99,5.87,5.77,4.46,34.71
2021-07-05,Mon,8.74,13.88,13.95,5.67,20.53,62.77
2021-07-06,Tue,15.27,9.46,6.59,6.5,8.98,46.8
2021-07-07,Wed,8.83,7.37,9.96,5.78,13.42,45.36
2021-07-08,Thu,9.64,14.6,6.48,5.62,7.85,44.19
2021-07-09,Fri,9.47,5.96,21.52,17.3,5.37,59.62
2021-07-10,Sat,9.75,9.83,10.04,8.73,8.45,46.8
2021-07-11,Sun,8.57,6.49,10.64,6.8,6.03,38.53
2021-07-12,Mon,7.87,5.87,7.1,5.91,5.12,31.87
2021-07-13,Tue,9.72,10.24,6.88,6.27,8.63,41.74
2021-07-14,Wed,8.52,10.55,7.72,6.1,25.51,58.4
2021-07-15,Thu,10.02,9.91,8.45,5.61,8.73,42.72
2021-07-16,Fri,8.68,9.76,12.81,7.53,3.93,42.71
2021-07-17,Sat,9.74,9.0,5.79,5.11,7.86,37.5
2021-07-18,Sun,8.21,5.81,7.75,15.95,10.57,48.29
2021-07-19,Mon,8.18,8.0,6.91,11.83,4.88,39.8
2021-07-20,Tue,9.69,9.52,6.64,5.66,9.29,40.8
2021-07-21,Wed,8.63,6.92,7.21,6.64,5.38,34.78
2021-07-22,Thu,9.78,13.45,7.96,7.08,13.99,52.26
2021-07-23,Fri,8.37,7.35,6.7,6.12,4.88,33.42
2021-07-24,Sat,10.71,9.41,6.4,5.08,25.87,57.47
2021-07-25,Sun,39.38,12.41,7.13,8.75,6.71,74.38
2021-07-26,Mon,8.15,7.22,8.66,8.71,5.4,38.14
2021-07-27,Tue,10.39,10.57,7.09,6.39,11.95,46.39
2021-07-28,Wed,9.28,7.05,11.6,10.65,4.54,43.12
2021-07-29,Thu,10.04,9.63,14.35,4.95,11.12,50.09
2021-07-30,Fri,9.68,10.27,18.43,12.18,14.14,64.7
2021-07-31,Sat,12.88,12.79,24.84,29.55,8.78,88.84
2021-08-01,Sun,9.79,11.55,28.15,6.93,4.64,61.06
2021-08-02,Mon,8.4,8.48,7.58,8.9,6.1,39.46
2021-08-03,Tue,10.93,22.43,13.83,13.18,14.66,75.03
2021-08-04,Wed,9.24,6.88,13.87,5.46,6.36,41.81
2021-08-05,Thu,9.31,9.68,7.11,13.48,21.17,60.75
2021-08-06,Fri,7.9,10.32,13.56,6.73,4.01,42.52
2021-08-07,Sat,9.69,8.89,7.3,9.85,9.14,44.87
2021-08-08,Sun,8.32,6.62,6.82,10.34,5.11,37.21
2021-08-09,Mon,9.0,6.45,10.22,5.95,22.15,53.77
2021-08-10,Tue,12.4,9.95,9.65,9.13,10.26,51.39
2021-08-11,Wed,9.8,6.92,30.79,12.04,10.21,69.76
2021-08-12,Thu,11.75,10.21,26.36,12.74,11.82,72.88
2021-08-13,Fri,11.43,13.49,15.31,26.24,5.2,71.67
2021-08-14,Sat,11.32,11.08,25.53,17.47,17.02,82.42
2021-08-15,Sun,29.62,8.73,19.32,18.06,5.9,81.63
2021-08-16,Mon,8.98,8.25,11.64,10.28,5.69,44.84
2021-08-17,Tue,23.33,33.12,11.57,8.69,9.24,85.95
2021-08-18,Wed,9.67,6.88,6.81,6.92,4.96,35.24
2021-08-19,Thu,9.77,9.39,6.75,4.93,9.03,39.87
2021-08-20,Fri,9.09,6.36,12.31,5.33,6.19,39.28
2021-08-21,Sat,9.7,9.17,6.78,5.14,5.08,35.87
2021-08-22,Sun,8.25,5.89,10.55,4.74,3.82,33.25
2021-08-23,Mon,7.85,5.95,6.34,5.04,4.27,29.45
2021-08-24,Tue,7.69,6.16,6.42,5.32,5.27,30.86
2021-08-25,Wed,7.82,5.88,6.51,13.21,4.33,37.75
2021-08-26,Thu,8.67,6.27,7.34,5.45,4.33,32.06
2021-08-27,Fri,7.8,6.72,6.88,32.96,6.01,60.37
2021-08-28,Sat,8.88,11.49,6.68,6.04,4.26,37.35
2021-08-29,Sun,8.37,5.85,6.25,5.6,5.36,31.43
2021-08-30,Mon,8.57,24.35,10.0,6.26,4.5,53.68
2021-08-31,Tue,8.26,5.99,6.87,6.08,4.04,31.24
2021-09-01,Wed,8.08,7.23,7.03,11.93,21.86,56.13
2021-09-02,Thu,8.7,6.58,6.75,9.71,5.12,36.86
2021-09-03,Fri,9.25,6.8,7.42,7.05,6.09,36.61
2021-09-04,Sat,8.65,6.72,7.03,9.11,5.38,36.89
2021-09-05,Sun,9.09,7.92,10.09,8.41,5.36,40.87
2021-09-06,Mon,9.08,6.46,6.05,16.21,4.2,42.0
2021-09-07,Tue,9.25,10.59,7.94,11.45,9.11,48.34
2021-09-08,Wed,9.77,13.48,15.37,23.24,5.91,67.77
2021-09-09,Thu,11.54,10.82,14.35,7.44,8.98,53.13
2021-09-10,Fri,9.86,11.46,7.6,9.94,27.08,65.94
2021-09-11,Sat,15.29,11.06,8.07,6.96,9.22,50.6
2021-09-12,Sun,9.61,7.57,7.46,6.06,7.06,37.76
2021-09-13,Mon,9.11,10.88,7.5,9.86,5.28,42.63
2021-09-14,Tue,9.48,9.4,7.38,6.53,8.73,41.52
2021-09-15,Wed,8.53,6.52,10.94,8.9,6.47,41.36
2021-09-16,Thu,9.46,13.48,6.74,5.59,8.07,43.34
2021-09-17,Fri,9.67,7.59,7.58,22.59,16.47,63.9
2021-09-18,Sat,8.63,6.55,13.38,8.57,4.86,41.99
2021-09-19,Sun,8.3,5.96,9.2,6.91,6.71,37.08
2021-09-20,Mon,9.34,13.66,7.27,6.14,4.87,41.28
2021-09-21,Tue,8.12,6.91,7.0,6.43,5.5,33.96
2021-09-22,Wed,8.77,10.11,8.08,6.35,4.45,37.76
2021-09-23,Thu,9.02,6.77,20.67,30.23,4.76,71.45
2021-09-24,Fri,8.14,7.04,6.93,6.72,5.45,34.28
2021-09-25,Sat,9.59,8.67,7.9,5.95,4.58,36.69
2021-09-26,Sun,8.34,6.14,6.68,17.86,4.93,43.95
2021-09-27,Mon,8.33,13.06,6.93,10.69,5.04,44.05
2021-09-28,Tue,9.3,6.6,6.67,6.09,4.37,33.03
2021-09-29,Wed,8.09,6.82,6.56,5.63,5.1,32.2
2021-09-30,Thu,8.01,12.05,11.13,6.13,4.76,42.08
2021-10-01,Fri,9.39,10.64,7.39,5.56,4.32,37.3
2021-10-02,Sat,9.34,7.37,10.17,29.07,5.65,61.6
2021-10-03,Sun,8.3,6.03,9.3,6.5,5.15,35.28
2021-10-04,Mon,7.95,11.78,7.85,6.57,4.68,38.83
2021-10-05,Tue,7.87,7.31,7.58,5.97,5.02,33.75
2021-10-06,Wed,8.36,7.0,8.16,12.4,20.83,56.75
2021-10-07,Thu,9.06,7.86,8.79,8.31,4.6,38.62
2021-10-08,Fri,8.93,13.53,13.74,29.07,7.49,72.76
2021-10-09,Sat,8.04,6.67,8.28,6.5,6.01,35.5
2021-10-10,Sun,8.59,6.0,8.03,12.47,5.28,40.37
2021-10-11,Mon,9.64,6.43,7.48,5.85,8.19,37.59
2021-10-12,Tue,9.01,7.44,7.54,12.41,5.51,41.91
2021-10-13,Wed,8.72,10.8,7.15,7.42,5.31,39.4
2021-10-14,Thu,9.19,11.97,17.62,20.11,7.93,66.82
2021-10-15,Fri,9.32,10.64,7.43,5.85,4.59,37.83
2021-10-16,Sat,9.12,8.14,7.77,11.84,5.51,42.38
2021-10-17,Sun,9.36,5.93,7.4,8.57,6.19,37.45
2021-10-18,Mon,9.34,14.05,7.32,6.66,5.69,43.06
2021-10-19,Tue,8.98,11.93,7.42,5.99,6.25,40.57
2021-10-20,Wed,8.7,15.25,7.43,21.47,5.35,58.2
2021-10-21,Thu,8.48,7.6,8.11,6.69,5.6,36.48
2021-10-22,Fri,8.64,16.18,8.84,21.03,11.46,66.15
2021-10-23,Sat,9.54,6.54,20.62,9.66,6.91,53.27
2021-10-24,Sun,10.37,6.11,10.88,6.09,4.67,38.12
2021-10-25,Mon,10.36,10.93,7.59,7.03,5.33,41.24
2021-10-26,Tue,8.91,7.39,7.55,10.49,5.99,40.33
2021-10-27,Wed,9.63,10.71,7.25,11.15,17.43,56.17
2021-10-28,Thu,9.28,6.96,7.08,5.71,4.2,33.23
2021-10-29,Fri,9.35,6.94,11.15,6.28,5.2,38.92
2021-10-30,Sat,8.71,7.81,7.16,14.46,11.69,49.83
2021-10-31,Sun,9.03,6.52,9.69,8.28,5.77,39.29
2021-11-01,Mon,10.09,9.38,8.08,6.8,13.23,47.58
2021-11-02,Tue,16.24,7.56,7.46,6.83,5.69,43.78
2021-11-03,Wed,10.47,17.35,9.07,21.38,5.63,63.9
2021-11-04,Thu,13.87,6.66,7.59,6.8,4.65,39.57
2021-11-05,Fri,8.6,6.82,6.82,17.53,4.35,44.12
2021-11-06,Sat,8.69,8.34,7.63,7.17,4.52,36.35
2021-11-07,Sun,10.9,18.94,10.46,11.0,4.97,56.27
2021-11-08,Mon,9.87,6.86,7.87,7.54,5.25,37.39
2021-11-09,Tue,9.79,7.03,9.14,7.52,5.82,39.3
2021-11-10,Wed,8.82,7.37,9.0,6.97,5.72,37.88
2021-11-11,Thu,9.0,11.91,19.65,7.06,5.8,53.42
2021-11-12,Fri,8.92,11.42,7.65,5.98,3.95,37.92
2021-11-13,Sat,8.24,7.5,7.16,5.95,4.09,32.94
2021-11-14,Sun,8.65,5.82,11.49,9.18,6.24,41.38
2021-11-15,Mon,9.18,13.98,6.94,9.24,5.62,44.96
2021-11-16,Tue,9.16,7.0,7.02,6.43,6.31,35.92
2021-11-17,Wed,11.65,13.84,7.29,22.62,13.73,69.13
2021-11-18,Thu,10.37,9.38,7.16,14.17,5.14,46.22
2021-11-19,Fri,9.69,6.28,7.93,25.78,4.64,54.32
2021-11-20,Sat,8.55,15.14,9.29,17.01,6.9,56.89
2021-11-21,Sun,8.92,8.73,7.57,15.07,17.37,57.66
2021-11-22,Mon,11.04,6.78,6.0,4.75,3.58,32.15
2021-11-23,Tue,8.42,6.32,5.83,4.8,3.64,29.01
2021-11-24,Wed,9.01,6.17,6.01,5.1,3.69,29.98
2021-11-25,Thu,8.68,5.82,5.94,4.78,3.61,28.83
2021-11-26,Fri,8.67,5.87,5.91,4.88,3.66,28.99
2021-11-27,Sat,8.23,5.97,6.1,6.77,3.77,30.84
2021-11-28,Sun,7.86,5.84,8.1,17.4,11.36,50.56
2021-11-29,Mon,9.31,11.5,8.31,7.2,5.46,41.78
2021-11-30,Tue,8.4,7.27,7.13,7.31,4.08,34.19
2021-12-01,Wed,8.66,14.1,7.16,7.2,6.69,43.81
2021-12-02,Thu,8.8,7.24,34.87,6.93,5.04,62.88
2021-12-03,Fri,10.11,13.51,10.51,6.39,5.77,46.29
2021-12-04,Sat,8.74,8.77,10.94,10.09,7.23,45.77
2021-12-05,Sun,8.83,6.73,8.33,24.2,5.57,53.66
2021-12-06,Mon,10.73,10.04,9.09,13.47,18.35,61.68
2021-12-07,Tue,9.45,11.16,7.8,10.25,6.64,45.3
2021-12-08,Wed,8.8,14.61,8.48,8.67,6.18,46.74
2021-12-09,Thu,9.97,9.24,8.4,7.17,9.61,44.39
2021-12-10,Fri,10.23,25.26,20.75,11.42,6.55,74.21
2021-12-11,Sat,9.6,7.78,9.54,7.69,7.05,41.66
2021-12-12,Sun,9.78,8.44,8.79,7.16,6.86,41.03
2021-12-13,Mon,9.89,11.4,8.03,16.62,5.93,51.87
2021-12-14,Tue,10.1,6.91,7.02,15.55,5.36,44.94
2021-12-15,Wed,9.88,17.0,26.91,25.57,6.1,85.46
2021-12-16,Thu,10.39,10.43,10.31,14.68,16.25,62.06
2021-12-17,Fri,26.08,15.18,9.66,26.65,7.05,84.62
2021-12-18,Sat,10.56,10.16,14.02,11.59,5.92,52.25
2021-12-19,Sun,9.79,9.16,11.2,16.35,6.4,52.9
2021-12-20,Mon,11.45,11.88,10.27,8.41,6.82,48.83
2021-12-21,Tue,9.43,7.97,11.87,7.92,6.25,43.44
2021-12-22,Wed,10.54,7.44,20.25,8.65,16.29,63.17
2021-12-23,Thu,11.96,11.15,6.5,5.34,4.03,38.98
2021-12-24,Fri,9.67,6.87,6.87,5.75,4.2,33.36
2021-12-25,Sat,9.88,6.93,7.02,9.0,6.42,39.25
2021-12-26,Sun,10.31,8.33,13.41,13.1,5.83,50.98
2021-12-27,Mon,9.77,9.49,9.85,8.87,6.14,44.12
2021-12-28,Tue,10.55,8.05,13.8,21.68,25.19,79.27
2021-12-29,Wed,10.01,7.62,11.73,11.91,8.39,49.66
2021-12-30,Thu,10.43,7.85,7.89,9.16,5.74,41.07
2021-12-31,Fri,10.47,7.82,16.11,9.01,7.05,50.46
