Date,DayOfWeek,00:00-06:59,07:00-11:59,12:00-16:59,17:00-20:59,21:00-23:59,Total
2022-01-01,Sat,13.01,13.63,25.28,8.47,6.6,66.99
2022-01-02,Sun,11.66,9.35,10.19,17.86,6.48,55.54
2022-01-03,Mon,11.93,7.97,10.46,9.08,5.43,44.87
2022-01-04,Tue,11.01,8.61,9.43,7.89,6.06,43.0
2022-01-05,Wed,11.3,8.01,19.11,15.35,25.14,78.91
2022-01-06,Thu,9.73,10.29,8.09,7.24,5.7,41.05
2022-01-07,Fri,10.4,12.3,9.04,9.43,6.24,47.41
2022-01-08,Sat,10.63,8.62,10.21,27.14,8.13,64.73
2022-01-09,Sun,12.09,7.93,6.56,7.14,7.32,41.04
2022-01-10,Mon,12.13,13.44,10.15,8.68,7.01,51.41
2022-01-11,Tue,10.46,8.19,7.92,8.33,13.26,48.16
2022-01-12,Wed,11.12,8.31,9.77,15.91,27.35,72.46
2022-01-13,Thu,21.01,8.76,9.04,13.23,6.7,58.74
2022-01-14,Fri,11.02,21.45,8.23,8.78,7.36,56.84
2022-01-15,Sat,10.8,10.41,15.78,17.41,6.39,60.79
2022-01-16,Sun,9.54,16.12,8.22,13.51,7.51,54.9
2022-01-17,Mon,9.86,14.87,20.06,10.59,9.41,64.79
2022-01-18,Tue,10.09,8.24,13.27,5.52,3.66,40.78
2022-01-19,Wed,8.98,6.53,6.7,5.28,6.75,34.24
2022-01-20,Thu,10.12,10.56,9.41,26.64,12.3,69.03
2022-01-21,Fri,10.49,15.67,8.98,13.99,6.41,55.54
2022-01-22,Sat,9.82,10.57,10.23,9.95,7.29,47.86
2022-01-23,Sun,10.92,8.59,8.86,7.23,5.84,41.44
2022-01-24,Mon,10.37,9.14,8.78,7.16,5.61,41.06
2022-01-25,Tue,10.5,8.8,8.3,7.37,5.2,40.17
2022-01-26,Wed,10.46,9.98,7.87,7.4,6.97,42.68
2022-01-27,Thu,10.99,9.07,8.85,9.99,6.41,45.31
2022-01-28,Fri,10.36,8.78,8.17,7.31,7.13,41.75
2022-01-29,Sat,10.34,7.56,19.09,35.88,9.7,82.57
2022-01-30,Sun,9.55,7.89,15.31,8.9,6.84,48.49
2022-01-31,Mon,10.84,8.4,8.56,8.25,5.44,41.49
2022-02-01,Tue,10.0,8.93,14.72,25.98,6.73,66.36
2022-02-02,Wed,11.06,13.75,8.15,10.53,6.22,49.71
2022-02-03,Thu,9.55,8.98,8.39,9.01,6.45,42.38
2022-02-04,Fri,9.78,12.51,10.1,29.04,7.46,68.89
2022-02-05,Sat,25.1,10.02,7.02,7.38,5.35,54.87
2022-02-06,Sun,10.05,7.78,6.58,6.88,6.27,37.56
2022-02-07,Mon,10.3,19.6,10.45,6.9,6.25,53.5
2022-02-08,Tue,11.51,8.1,9.23,8.49,6.34,43.67
2022-02-09,Wed,11.74,8.19,8.72,18.73,4.87,52.25
2022-02-10,Thu,9.86,9.17,9.53,9.23,6.3,44.09
2022-02-11,Fri,9.8,11.27,8.23,6.84,4.51,40.65
2022-02-12,Sat,8.89,7.57,12.87,6.25,5.15,40.73
2022-02-13,Sun,9.42,10.7,15.68,10.67,5.61,52.08
2022-02-14,Mon,9.45,12.57,13.44,7.98,5.87,49.31
2022-02-15,Tue,9.13,8.39,8.34,8.0,5.29,39.15
2022-02-16,Wed,9.27,8.15,8.63,20.93,6.63,53.61
2022-02-17,Thu,9.43,7.11,17.14,6.6,5.12,45.4
2022-02-18,Fri,9.33,13.03,8.11,6.58,5.64,42.69
2022-02-19,Sat,9.36,7.59,9.72,20.95,13.22,60.84
2022-02-20,Sun,9.13,9.03,7.21,6.62,5.03,37.02
2022-02-21,Mon,9.77,6.99,12.24,6.91,5.93,41.84
2022-02-22,Tue,10.31,7.99,8.27,15.98,5.42,47.97
2022-02-23,Wed,11.54,9.15,8.09,26.15,5.22,60.15
2022-02-24,Thu,11.5,8.23,8.47,7.0,5.14,40.34
2022-02-25,Fri,11.77,15.26,8.1,17.42,4.81,57.36
2022-02-26,Sat,10.29,7.73,9.18,8.63,5.56,41.39
2022-02-27,Sun,9.46,8.72,17.42,11.74,4.77,52.11
2022-02-28,Mon,10.36,12.41,8.71,12.47,6.44,50.39
2022-03-01,Tue,10.16,7.48,8.48,28.12,5.41,59.65
2022-03-02,Wed,10.89,7.9,12.77,8.48,5.01,45.05
2022-03-03,Thu,9.99,8.55,10.83,9.34,6.91,45.62
2022-03-04,Fri,9.45,15.94,16.2,9.09,5.6,56.28
2022-03-05,Sat,10.5,8.97,9.82,7.98,5.28,42.55
2022-03-06,Sun,9.73,7.98,20.4,7.86,5.92,51.89
2022-03-07,Mon,9.86,11.96,10.15,15.64,8.62,56.23
2022-03-08,Tue,9.63,12.91,8.21,16.19,7.5,54.44
2022-03-09,Wed,9.99,8.03,7.93,6.98,16.62,49.55
2022-03-10,Thu,10.58,12.28,7.76,7.37,5.66,43.65
2022-03-11,Fri,11.15,7.78,7.14,12.61,5.76,44.44
2022-03-12,Sat,9.4,8.09,27.18,9.38,5.42,59.47
2022-03-13,Sun,8.01,7.28,9.52,6.82,5.71,37.34
2022-03-14,Mon,10.67,7.87,7.97,6.54,5.52,38.57
2022-03-15,Tue,10.51,7.87,7.55,7.02,6.59,39.54
2022-03-16,Wed,10.44,8.14,7.85,6.16,8.13,40.72
2022-03-17,Thu,10.88,7.43,8.37,6.89,4.59,38.16
2022-03-18,Fri,9.31,10.97,11.9,5.99,4.87,43.04
2022-03-19,Sat,10.19,9.5,41.38,11.27,6.1,78.44
2022-03-20,Sun,10.56,7.04,11.51,6.82,6.1,42.03
2022-03-21,Mon,9.89,7.86,9.37,9.02,13.34,49.48
2022-03-22,Tue,11.04,7.69,7.49,9.95,5.02,41.19
2022-03-23,Wed,8.82,6.84,10.09,7.27,3.87,36.89
2022-03-24,Thu,9.08,6.45,6.7,6.37,5.27,33.87
2022-03-25,Fri,9.52,7.37,7.88,6.77,5.83,37.37
2022-03-26,Sat,10.48,7.0,7.18,6.76,6.42,37.84
2022-03-27,Sun,9.41,14.0,22.71,10.55,5.49,62.16
2022-03-28,Mon,9.55,10.75,7.88,6.73,6.76,41.67
2022-03-29,Tue,9.05,11.4,6.89,10.06,5.41,42.81
2022-03-30,Wed,9.69,10.41,7.16,21.67,9.61,58.54
2022-03-31,Thu,6.4,11.76,7.04,10.64,7.66,43.5
2022-04-01,Fri,9.86,6.9,7.81,9.31,6.43,40.31
2022-04-02,Sat,36.36,6.63,13.0,8.7,10.88,75.57
2022-04-03,Sun,10.63,6.67,12.7,9.75,6.17,45.92
2022-04-04,Mon,9.88,6.96,7.86,7.87,5.9,38.47
2022-04-05,Tue,10.25,7.29,8.9,15.02,5.4,46.86
2022-04-06,Wed,11.09,6.65,6.39,8.97,20.94,54.04
2022-04-07,Thu,9.32,9.29,6.71,8.36,5.63,39.31
2022-04-08,Fri,8.45,25.32,10.01,8.65,6.57,59.0
2022-04-09,Sat,22.63,12.94,20.64,10.45,8.78,75.44
2022-04-10,Sun,20.17,8.03,9.05,6.41,5.55,49.21
2022-04-11,Mon,10.62,7.27,7.77,6.41,15.97,48.04
2022-04-12,Tue,10.87,7.19,7.48,7.94,5.18,38.66
2022-04-13,Wed,11.24,16.48,7.65,8.07,5.96,49.4
2022-04-14,Thu,10.0,11.56,7.31,21.37,15.93,66.17
2022-04-15,Fri,10.95,7.55,10.19,8.97,4.79,42.45
2022-04-16,Sat,10.17,6.76,6.89,19.14,15.84,58.8
2022-04-17,Sun,9.36,8.96,12.18,5.72,5.94,42.16
2022-04-18,Mon,9.7,10.95,7.67,13.13,5.96,47.41
2022-04-19,Tue,10.93,7.73,7.81,13.74,18.54,58.75
2022-04-20,Wed,10.15,7.47,7.6,6.49,6.01,37.72
2022-04-21,Thu,10.07,7.22,7.21,5.47,24.81,54.78
2022-04-22,Fri,13.8,10.29,7.36,13.53,15.17,60.15
2022-04-23,Sat,8.97,6.66,6.4,6.3,5.23,33.56
2022-04-24,Sun,8.82,6.7,24.62,9.22,4.98,54.34
2022-04-25,Mon,8.98,10.77,7.81,5.67,5.68,38.91
2022-04-26,Tue,9.59,6.2,6.72,15.28,5.68,43.47
2022-04-27,Wed,9.9,10.55,7.33,7.45,11.08,46.31
2022-04-28,Thu,10.33,10.4,8.93,13.75,4.93,48.34
2022-04-29,Fri,8.9,8.31,7.28,13.48,4.86,42.83
2022-04-30,Sat,8.92,9.49,10.17,14.22,6.22,49.02
2022-05-01,Sun,9.03,9.48,6.7,5.42,24.52,55.15
2022-05-02,Mon,8.69,10.5,7.26,5.95,4.99,37.39
2022-05-03,Tue,9.96,6.51,7.21,6.88,6.05,36.61
2022-05-04,Wed,9.54,6.58,7.08,5.68,10.72,39.6
2022-05-05,Thu,8.76,10.54,7.54,5.43,4.46,36.73
2022-05-06,Fri,9.05,12.36,7.04,27.14,11.47,67.06
2022-05-07,Sat,9.06,10.08,7.14,6.3,4.78,37.36
2022-05-08,Sun,10.89,6.91,6.66,9.47,5.1,39.03
2022-05-09,Mon,12.16,7.59,7.81,6.65,5.7,39.91
2022-05-10,Tue,10.98,21.36,7.28,8.84,6.74,55.2
2022-05-11,Wed,10.15,10.22,7.5,10.21,6.79,44.87
2022-05-12,Thu,9.75,10.63,7.66,5.69,4.69,38.42
2022-05-13,Fri,10.45,7.28,8.39,7.03,5.69,38.84
2022-05-14,Sat,9.44,7.19,14.07,13.42,25.61,69.73
2022-05-15,Sun,20.04,7.87,13.04,13.96,4.29,59.2
2022-05-16,Mon,8.5,8.56,6.92,14.13,6.25,44.36
2022-05-17,Tue,10.66,26.17,8.72,6.98,5.35,57.88
2022-05-18,Wed,8.55,9.93,7.51,8.69,5.29,39.97
2022-05-19,Thu,9.55,10.98,8.02,11.7,5.8,46.05
2022-05-20,Fri,10.36,7.9,9.86,6.55,5.43,40.1
2022-05-21,Sat,10.81,8.28,12.58,9.11,5.38,46.16
2022-05-22,Sun,40.97,7.02,10.74,10.03,7.26,76.02
2022-05-23,Mon,8.33,8.67,6.82,12.02,5.48,41.32
2022-05-24,Tue,7.9,5.7,6.15,11.62,4.62,35.99
2022-05-25,Wed,8.9,6.47,7.27,6.51,17.97,47.12
2022-05-26,Thu,8.08,10.59,23.66,12.51,4.27,59.11
2022-05-27,Fri,8.97,5.78,15.03,7.09,5.69,42.56
2022-05-28,Sat,8.49,7.13,8.66,14.43,8.44,47.15
2022-05-29,Sun,9.26,9.96,18.68,22.87,9.3,70.07
2022-05-30,Mon,8.76,6.32,6.84,8.52,8.14,38.58
2022-05-31,Tue,9.37,6.87,7.58,16.16,4.48,44.46
2022-06-01,Wed,8.78,6.38,6.26,15.6,5.65,42.67
2022-06-02,Thu,9.33,8.96,7.19,7.43,6.42,39.33
2022-06-03,Fri,8.17,7.86,40.34,8.63,4.87,69.87
2022-06-04,Sat,8.27,11.47,22.94,10.48,4.29,57.45
2022-06-05,Sun,8.35,7.57,11.58,6.4,4.42,38.32
2022-06-06,Mon,8.15,7.33,15.92,6.23,4.69,42.32
2022-06-07,Tue,8.82,6.61,9.86,10.84,4.58,40.71
2022-06-08,Wed,8.46,20.29,9.17,13.5,17.17,68.59
2022-06-09,Thu,20.12,6.04,6.13,15.38,4.23,51.9
2022-06-10,Fri,8.48,6.75,11.04,17.62,4.25,48.14
2022-06-11,Sat,8.74,8.17,17.77,7.94,14.27,56.89
2022-06-12,Sun,25.86,12.44,9.87,7.26,6.9,62.33
2022-06-13,Mon,8.72,7.08,7.45,17.64,7.35,48.24
2022-06-14,Tue,9.1,6.7,8.5,13.07,5.52,42.89
2022-06-15,Wed,8.44,6.07,7.88,13.93,11.73,48.05
2022-06-16,Thu,8.69,6.96,6.87,13.75,15.16,51.43
2022-06-17,Fri,8.39,6.58,23.67,21.22,6.32,66.18
2022-06-18,Sat,9.84,6.3,10.75,6.81,5.8,39.5
2022-06-19,Sun,9.46,19.42,29.83,8.43,7.69,74.83
2022-06-20,Mon,8.79,8.17,8.9,14.38,5.62,45.86
2022-06-21,Tue,8.87,5.9,6.82,18.12,4.55,44.26
2022-06-22,Wed,8.13,5.79,9.04,6.86,7.96,37.78
2022-06-23,Thu,25.43,6.33,5.94,5.29,10.86,53.85
2022-06-24,Fri,8.28,35.26,34.71,7.14,5.73,91.12
2022-06-25,Sat,9.48,5.94,9.68,13.02,4.25,42.37
2022-06-26,Sun,8.2,7.02,13.92,5.03,9.57,43.74
2022-06-27,Mon,9.19,7.01,15.68,16.37,3.85,52.1
2022-06-28,Tue,9.47,5.91,8.69,14.45,6.0,44.52
2022-06-29,Wed,9.21,7.27,7.35,20.71,5.0,49.54
2022-06-30,Thu,9.82,6.31,11.07,9.08,6.86,43.14
2022-07-01,Fri,9.58,7.77,9.87,16.02,5.21,48.45
